row,url
1,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-մեծ-կենտրոնում-երևան-d111308
2,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d98897
3,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d109406
4,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-նոր-նորքում-երևան-d109741
5,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-էրեբունիում-երևան-d102768
6,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-աջափնյակում-երևան-d109718
7,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d107087
8,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d110237
9,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d99452
10,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d106660
11,https://www.estate.am/1-սենյականոց-բնակարանի-վաճառք-մալաթիա-սեբաստիայում-երևան-d108792
12,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-էրեբունիում-երևան-d109439
13,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d110099
14,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d110588
15,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-շենգավիթում-երևան-d109505
16,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-աջափնյակում-երևան-d106921
17,https://www.estate.am/5-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d89293
18,https://www.estate.am/6-սենյականոց-բնակարանի-վաճառք-նոր-նորքում-երևան-d105437
19,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-քանաքեռ-զեյթունում-երևան-d106525
20,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-դավթաշենում-երևան-d107603
21,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d109642
22,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d103247
23,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-էրեբունիում-երևան-d105784
24,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-էրեբունիում-երևան-d109859
25,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-էրեբունիում-երևան-d109876
26,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d110500
27,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d107451
28,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-աջափնյակում-երևան-d108949
29,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-դավթաշենում-երևան-d83456
30,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d106338
31,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-աջափնյակում-երևան-d107236
32,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d110062
33,https://www.estate.am/5-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d110508
34,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d89047
35,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-մեծ-կենտրոնում-երևան-d99895
36,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d110219
37,https://www.estate.am/6-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d101961
38,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d110236
39,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d106159
40,https://www.estate.am/5-սենյականոց-բնակարանի-վաճառք-քանաքեռ-զեյթունում-երևան-d107045
41,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d108865
42,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d110209
43,https://www.estate.am/1-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d109106
44,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d97578
45,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d104575
46,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d70485
47,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d95137
48,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d87242
49,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d106857
50,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d108763
51,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d108764
52,https://www.estate.am/2-սենյականոց-բնակարանի-վաճառք-արաբկիրում-երևան-d76440
53,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-նոր-նորքում-երևան-d106563
54,https://www.estate.am/3-սենյականոց-բնակարանի-վաճառք-փոքր-կենտրոնում-երևան-d107306
55,https://www.estate.am/4-սենյականոց-բնակարանի-վաճառք-մեծ-կենտրոնում-երևան-d108467
