addr,rooms,ruler,floor,price,descr
Սայաթ-Նովայի պող.,3 սենյակ,75 մ2, հարկ 2/5 ," Վաճառք - 160,000 $ "," Վարձով է տրվում 3 սենյականոց բնակարան՝ 75 ք.մ. մակերեսով, որը գտնվում է Սայաթ-Նովա և Նալբանդյան փողոցների խաչմերուկում՝ 5 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, հատակը սալիկապատ է: Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է օդորակիչ։ Բնակարանը կահավորված է և ապահովված է անհրաժեշտ տեխնիկայով։ Առկա է կաբելային հեռուստատեսություն և ինտերնետ։ Շենքի բակում հնարավոր է մեքենաները կանգնեցնել։ Կարճաժամկետ վարձակալության դեպքում գինը փոփոխվում է։ "
Վահ․ Փափազյան,3 սենյակ,118 մ2," հարկ 6/13 , նորակառույց "," Վաճառք - 306,000 $ "," Վ.Փափազյան փողոցում՝ նորաբաց ""Ռիո"" մոլլի մոտ, վաճառվում է 3 սենյականոց լյուքս դասի, շքեղ և յուրահատուկ դիզայներական լուծումներով բնակարան, որի ընդհանուր մակերեսը կազմում է 118 քմ.: Այն գտնվում է 13 հարկանի բնակելի նորակառույց շենքի 6-րդ հարկում: Բնակարանը կապիտալ եվրո նորոգված է՝ համապատասխան վերջին եվրոպական ստանդարտներին: Ապահովված է բոլոր կոմունալ հարմարություններով, երկու սանհանգույցով, ջակուզիով։ Ջեռուցվում է գազի կաթսայի միջոցով: Բոլոր սենյակները և խոհանոցը կահավորված են հարմարավետ և ժամանակակից խոհանոցային կահույքով, հագեցած է տեխնիկայով և սանտեխնիկայով: Ողջ կահույքը փայտից է և բարձր որակի։ Ունի 2 ընդարձակ բաց պատշգամբ, որտեղից բացվում է գեղեցիկ տեսարան դեպի փողոց: Մոտակայքում կարող եք գտնել բազմաթիվ խանութներ, ժամանցի և մշակութային կենտրոններ, սուպերմարկետներ: Ավտոմեքենաների համար հատկացված է ստորգետնյա կայանատեղի։ Վաճառվում է ողջ կահույքով և տեխնիկայով։ "
"Ավան Առինջ 2-րդ միկ. 2/7, բն. 21",3 սենյակ,74 մ2, հարկ 2/9 ," Վաճառք - 69,000 $ "," Վաճառվում է 3 սենյականոց արևկող բնակարան՝ 74 ք.մ. մակերեսով, որը գտնվում է Ավան Առինջ 2-րդ միկրոշրջանում՝ 9 հարկանի պանելային շենքի 2-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է լամինատով: Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը և խոհանոցը սալիկապատված են, սանհանգույցը հագեցած է սանտեխնիկայով: Բոլոր սենյակները և խոհանոցը կահավորված են ժամանակակից կահույքով։ Առկա է կաբելային հեռուստատեսություն և ինտերնետ։ Վաճառվում է ամբողջ կահույքի և տեխնիկայի հետ միասին: "
Արամի փողոց,2 սենյակ,80 մ2," հարկ 10/16 , նորակառույց "," Վաճառք - 225,000 $ "," Արամի փողոցի վրա՝ նախկին ""Մալիբու"" սրճարանի հարևանությամբ, վաճառվում է 2 սենյականոց բնակարան, որը գտնվում է 16 հարկանի նորակառույց շենքի 10-րդ հարկում: Ընդհանուր մակերեսը կազմում է 80 ք.մ.։ Այն գտնվում է զրոյական վիճակում, սենյակների բաժանումները կատարված են։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ։ Ավտոմեքենաների համար հատկացված են ստորգետնյա կայանատեղեր: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, հանգստի և ժամանցի վայրերը։ "
Փ․ Բուզանդ,2 սենյակ,70 մ2," հարկ 4/16 , նորակառույց "," Վաճառք - 157,000 $ "," Բուզանդ փողոցում՝ նորակառույց այգու հարևանությամբ, վաճառվում է 2 սենյականոց բնակարան, որը գտնվում է 16 հարկանի նորակառույց շենքի 4-րդ հարկում: Ընդհանուր մակերեսը կազմում է 70 ք.մ.։ Բնակարանն ունի բաց պատշգամբ և արևկող դիրք։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, սենյակների բաժանումները արված են, պատերը գաջված են։ Բնակարանի հետ հնարավոր է ձեռք բերել նաև ստորգետնյա կայանատեղ` հավելավճարով: "
Ե. Քոչարի,2 սենյակ,90 մ2," հարկ 8/9 , նորակառույց "," Վաճառք - 200,000 $ "," Վաճառվում կամ վարձակալությամբ է տրվում 2 սենյականոց նորաոճ և շատ գեղեցիկ դիզայներական լուծումներով բնակարան՝ 90 ք.մ. մակերեսով, որը գտնվում է Ե.Քոչար փողոցում «SAS» սուպերմարկետի հարևանությամբ , 9 հարկանի նորակառույց շենքի 8-րդ հարկում: Բնակարանը կապիտալ եվրո նորոգված է և չբնակեցված, ունի յուրահատուկ դիզայն և ինտերիեր՝ շնորհիվ նրբաճաշակ գունային համադրության և կահավորանքի։ Բոլոր սենյակները կահավորված են որակյալ և նորաոճ կահույքով և համալրված ժամանակակից տեխնիկայով։ Ջեռուցումն իրականացվում է գազի կաթսայի միջոցով է, ինչպես նաև տեղադրված է օդորակիչներ։ Սանհանգույցները սալիկապատված են և հագեցած են անհրաժեշտ սանտեխնիկայով: Ունի 2 հատ բաց պատշգամբներ։ Մոտակայքում կարող եք գտնել բոլոր անհրաժեշտ խանութները։ Ցանկության դեպքւմ տրամադրում ենք վարորդ, ով կդիմավորի Ձեզ օդանավակայանում և ապահով կհասցնի նախապես ամրագրված հասցեն։ Երկարաժամկետ` 1000 - 1800 $, օրավարձ՝ 70-100 $։ Viber/WhatsApp/Telegram +37477600-010 Արթուր "
"Վարդանանց 5ա, բն. 87",2 սենյակ,47 մ2, հարկ 10/10 ," Վաճառք - 85,000 $ "," Վաճառվում է 2 սենյականոց լուսավոր բնակարան` 47 քմ մակերեսով, որը տեղակայված է 10 հարկանի պանելային շենքի 10-րդ հարկում, Վարդանանց փողոցում: Բնակարանը կապիտալ վերանորոգված է և չբնակեցված: Տեղադրված է մուտքի երկաթե դուռ, եվրոպատուհաններ, ջեռուցվում է գազի կաթսայի միջոցով: Հատակը ծածկված է պրեսգրանիտով, ննջասենյակները լամինատով: Սանհանգույցը սալիկապատված է եվրոպական արտադրության սալիկներով, հագեցած է սանտեխնիկայով։ Շենքում գործում է անխափան վերելակ: Մոտակայքում է գտնվում Սախարովի հրապարակը, Հանրապետության հրապարակը, բանկերը, բոլոր խանութներն ու ժամանցի վայրերը: "
Ազատության պողոտա,1 սենյակ,39 մ2, հարկ 2/5 ," Վաճառք - 75,000 $ "," Վաճառվում է կամ վարձակալության է տրվում 1 սենյականոց (2-ի ձևափոխված) բնակարան 39 քմ մակերեսով, որը գտնվում է Ազատության պողոտայի և Բաբայան փողոցի խաչմերուկում՝ 5 հարկանի` ստալինյան նախագծի քարե շենքի 2-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, հատակը ծածկված է լամինատով, տեղադրված են եվրո պատուհաններ, սանհանգույցը սալիկապատված է և հագեցած սանտեխնիկայով։ Առաստաղի բարձրությունը 3.20 մ է։ Բնակարանը կահավորված է և ապահովված է բարձրորակ կենցաղային տեխնիկայով, ունի բաց պատշգամբ դեպի զբոսայգի տեսարանով։ Խնամված բակում կա խաղահրապարակ։ Մոտակայքում կան խանութներ, դպրոց, սրճարան, մանկապարտեզ, դեղատուն, տրանսպորտի կանգառներ։ Վաճառվում է կահույքի և տեխնիկայի հետ միասին։ "
Չարենց,4 սենյակ,146 մ2, հարկ 5/5 ," Վաճառք - 135,000 $ "," Վաճառվում է 4 սենյականոց դուպլեքս բնակարան՝ 146 ք.մ. մակերեսով, որը գտնվում է Չարենցի փողոցում, քաղաքի լավագույն հատվածում` 5 հարկանի քարե` Ստալինյան նախագծով շենքի 5-րդ հարկում: Բնակարանը և տանիքը կապիտալ վերանորոգված են։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է լամինատով: Տեղադրված է ջրատաքացուցիչ: Ունի բացօթյա պատշգամբ` գեղեցիկ տեսարանով: Բնակարանը հարմարավետ կահավորված է և համալրված տեխնիկայով: Սանհանգույցը սալիկապատված է և ապահովված սանտեխնիկայով: Մոտակայքում կան տարատեսակ խանութներ ու ժամանցի վայրեր: "
Ն. Տիգրանյան փակ.,3 սենյակ,79 մ2," հարկ 7/11 , նորակառույց "," Վաճառք - 90,000 $ "," Վաճառվում է 3 սենյականոց բնակարան 79 քմ մակերեսով` 0-ական վիճակում, որը գտնվում է Անի թաղամասում՝ Ն. Տիգրանյան փողոցում, 11 հարկանի նորակառույց շենքի 7-րդ հարկում։ Պատերի բաժանումներն արված են, սվաղած, մուտքի երկաթե դուռը և եվրո պատուհանները տեղադրված են։ Կոմունիկացիաներն (ջուր, հոսանք և կոյուղի) առկա են, ունի 1 սանհանգույց և բաց պատշգամբ։ Շենքում գործում է վերելակ, առաջին հարկում կա մանկական զարգացման կենտրոն և խանութներ։ Առկա է ստորգետնյա ավտոկայանատեղի։ Բակը խնամված է և կանաչապատ, ունի խաղահրապարակ, տաղավար և ֆուտբոլի դաշտ։ "
Ն. Տիգրանյան փակ.,4 սենյակ,95 մ2," հարկ 10/11 , նորակառույց "," Վաճառք - 128,000 $ "," Վաճառվում է 4 սենյականոց բնակարան 95 քմ մակերեսով` 0-ական վիճակում, որը գտնվում է Անի թաղամասում՝ Ն. Տիգրանյան փողոցում, 11 հարկանի նորակառույց շենքի 10-րդ հարկում։ Պատերի բաժանումներն արված են, սվաղած, մուտքի երկաթե դուռը և եվրո պատուհանները տեղադրված են։ Կոմունիկացիաներն (ջուր, հոսանք և կոյուղի) առկա են, ունի 1 սանհանգույց և բաց պատշգամբ։ Շենքում գործում է վերելակ, առաջին հարկում կա մանկական զարգացման կենտրոն և խանութներ։ Առկա է ստորգետնյա ավտոկայանատեղի։ Բակը խնամված է և կանաչապատ, ունի խաղահրապարակ, տաղավար և ֆուտբոլի դաշտ։ "
Ն. Տիգրանյան փակ.,2 սենյակ,59 մ2," հարկ 7/11 , նորակառույց "," Վաճառք - 70,000 $ "," Վաճառվում է 2 սենյականոց բնակարան 59 քմ մակերեսով` 0-ական վիճակում, որը գտնվում է Անի թաղամասում՝ Ն. Տիգրանյան փողոցում, 11 հարկանի նորակառույց շենքի 7-րդ հարկում։ Պատերի բաժանումներն արված են, սվաղած, մուտքի երկաթե դուռը և եվրո պատուհանները տեղադրված են։ Կոմունիկացիաներն (ջուր, հոսանք և կոյուղի) առկա են, ունի 1 սանհանգույց և բաց պատշգամբ։ Շենքում գործում է վերելակ, առաջին հարկում կա մանկական զարգացման կենտրոն և խանութներ։ Առկա է ստորգետնյա ավտոկայանատեղի։ Բակը խնամված է և կանաչապատ, ունի խաղահրապարակ, տաղավար և ֆուտբոլի դաշտ։ "
Ծովակալ Իսակով,2 սենյակ,60 մ2, հարկ 4/9 ," Վաճառք - 46,500 $ "," Վաճառվում է 2 սենյականոց լուսավոր բնակարան` 60 քմ մակերեսով, որը գտնվում է Ծովակալ Իսակովի պողոտայում՝ 9 հարկանի պանելային շենքի 4-րդ հարկում: Բնակարանը վերանորոգման կարիք ունի: Տեղադրված է գեյզեր: Խոհանոցը կապիտալ վերանորոգված է և սալիկապատ: Սանհանգույցները սալիկապատված են և հագեցած սանտեխնիկայով: Ունի 2 պատշգամբ՝ բացօթյա և փակ: Շենքում գործում է անխափան վերելակ: Մոտակայքում կան խանութներ, դեղատուն և տրանսպորտի կանգառ: Վաճառվում է կահույքի հետ միասին: "
Դավիթ Բեկ,4 սենյակ,97 մ2," հարկ 1/3 , նորակառույց "," Վաճառք - 1,000 $ "," Էրեբունի համայնքում` Դավիթ Բեկի փողոցում, Նոր Զովք սուպերմարկետի հարևանությամբ վաճառվում է 4 սենյականոց, ստուդիո ոճի լուսավոր բնակարան` որը զբաղեցնում է 97 քմ մակերես և գտնվում է 3 հարկանի նորակառույց մոնոլիտ շենքի` բարձր 1-ին հարկում: Բնակարանը կապիտալ վերանորոգված է, հատակը ծածկված է լամինատով, տեղադրված է գազի կաթսա: Մուտքի դուռը երկաթյա է, տեղադրված են եվրո պատուհաններ: Խոհանոցը և 2 սանհանգույցները սալիկապատված են, հագեցած սանտեխնիկայով: Առկա է բացօթյա 3 պատշգամբ: Բնակարանը նրբաճաշակ կահավորված է և հագեցած ժամանակակից տեխնիկայով: Վաճառվում է ներկառուցված կահույքի հետ միասին: Կա նմանատիպ 4 սենյականոց բնակարան` զրոյական վիճակում, որը տեղակայված է 2-րդ հարկում: Գինը` (զրոյական վիճակում) 1 քմ - 500.000 դրամ: "
Հյուսիսային պող.,3 սենյակ,124 մ2," հարկ 4/12 , նորակառույց "," Վաճառք - 450,000 $ "," Վաճառվում է 3 սենյականոց ընդարձակ և լուսավոր բնակարան` 124 քմ մակերեսով, որը գտնվում է 12 հարկանի նորակառույց մոնոլիտ շենքի 4-րդ հարկում, Հյուսիսային պողոտայում` քաղաքի լավագույն հատվածում: Բնակարանը կապիտալ նորոգված է, կահավորված է ժամանակակից ոճով և համալրված է անհրաժեշտ տեխնիկայով: Տեղադրված է մուտքի երկաթե դուռ, եվրոպատուհաններ, անհատական ջեռուցման և օդափոխության համակարգեր: Հատակը ծածկված է մանրահատակով և սալիկներով: Առկա է 3 սանհանգույց, որոնք սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած են սանտեխնիկայով: Կա բաց պատշգամբ և ներկառուցված պահարաններ: Շենքում գործում է վերելակ, ապահովված է անվտանգության համակարգով: Մոտակայքում է գտնվում Օպերայի և բալետի թատրոնը, բոլոր բրենդային խանութները, բանկերը, սրճարաններն ու ժամանցի վայրերը: "
Կոմիտասի պող.,3 սենյակ,83 մ2, հարկ 3/5 ," Վաճառք - 83,000 $ "," Վաճառվում է 3 սենյականոց արևկող բնակարան՝ 83 քմ մակերեսով, որը գտնվում է Կոմիտասի պողոտայում, 5 հարկանի շենքի 3-րդ հարկում։ Բնակարանը գտնվում է բարվոք վիճակում։ Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է մուտքի երկաթե դուռ, եվրոպատուհաններ, հատակը ծածկված է մանրահատակով: Առկա է 2 սանհանգույց, որոնք ունեն հին սալիկապատում: Բնակարանն ունի բաց պատշգամբ: Մոտակայքում կան բանկեր, դեղատուն, տարատեսակ խանութներ, տրանսպորտի կանգառներ և ժամանցի վայրեր։ "
Մազմանյան,2 սենյակ,53 մ2, հարկ 4/9 , Վաճառք - պայման. ," Վաճառվում է 2 սենյականոց բնակարան` 53 քմ մակերեսով, որը գտնվում է Մազմանյան փողոցում, 15-րդ թաղամասում: Այն տեղակայված է օղակաձև խաչմերուկի (կալցեվոյի) մոտ, 9 հարկանի շենքի 4-րդ հարկում։ Բնակարանը պետական վիճակում է, հատակը ծածկված է մանրահատակով, ունի 1 սանհանգույց։ Բնակարանն ունի 2 պատշգամբ՝ փակ և բաց։ Բակը խնամված է, կա խաղահրապարակ։ Մոտակայքում է գտնվում Գևորգ Չաուշի հրապարակը, դպրոցները, խանութները, բանկերը և տրանսպորտի կանգառները։ "
Դ. Դեմիրճյան,1 սենյակ,38 մ2, հարկ 3/5 ," Վաճառք - 71,000 $ "," Վաճառվում է 1 սենյականոց բնակարան, որի մակերեսը 38 քմ է և գտնվում է Դ.Դեմիրճյան փողոցում, ստալինյան նախագծի 5 հարկանի քարե շենքի 3-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, հատակը ծածկված է լամինատով, տեղադրված են եվրո պատուհաններ, սանհանգույցը սալիկապատված է և հագեցած է սանտեխնիկայով։ Բնակարանը կահավորված է և ապահովված է բարձրորակ կենցաղային տեխնիկայով, ունի բաց պատշգամբ։ Մոտակայքում կան խանութներ, դպրոց, սրճարան, մանկապարտեզ, դեղատուն և տրանսպորտի կանգառ։ Վաճառվում է կահույքի և տեխնիկայի հետ միասին։ "
Արամի փողոց,2 սենյակ,58 մ2," հարկ 5/15 , նորակառույց "," Վաճառք - 165,000 $ "," Արամի փողոցի վրա՝նորակառույց այգու դիմաց, 15 հարկանի նորակառույց շենքի 5-րդ հարկում, վաճառվում կամ վարձակալության է տրվում 2 սենյականոց բնակարան: Բնակարանն ունի յուրօրինակ դիզայն, հարմարավետ և նրբաճաշակ կահավորանք: Բնակարանը վերանորոգված է։ Հագեցած է անհրաժեշտ տեխնիկայով: Ապահովված է բոլոր կոմունալ հարմարություններով: Ջեռուցումը կատարվում է գազի կաթսայի միջոցով: Բաց պատշգամբից բացվում է գեղեցիկ տեսարան: Մոտակայքում կան սուպերմարկետ և խանութներ։ "
Տերյան,4 սենյակ,140 մ2, հարկ 3/5 , Վաճառք - պայման. ," Վաճառվում է 4 սենյականոց ընդարձակ բնակարան` ձևափոխած 3-ի, ընդհանուր140 ք.մ. մակերեսով, որը գտնվում է Տերյան և Մոսկովյան փողոցների խաչմերուկում, 5 հարկանի քարե շենքի 3-րդ հարկում: Շենքը պատմամշակութային արժեք ներկայացնող կառույց է: Արտաքին պատերն ու տանիքը բետոնածածկ են: Առաստաղի բարձրությունը 3.30 մ է: Բնակարանն ունի հին կապիտալ վերանորոգում: Մուտքի դուռը երկաթյա է, տեղադրված է գազի կաթսա, օդորակիչ, հատակը ծածկված է որակյալ մանրահատակով։ Սանհանգույցը սալիկապատված է, հագեցած սանտեխնիկայով: Ունի բացօթյա պատշգամբ, որից բացվում է գեղեցիկ տեսարան: Շենքն ունի դոմոֆոն: Մոտակայքում են գտնվում բոլոր խանութները, բանկերը, տարբեր հաստատություններ և ժամանցի վայրեր։ "
Պուշկին,3 սենյակ,150 մ2," հարկ 8/18 , նորակառույց "," Վաճառք - 450,000 $ "," Վաճառվում է 3 սենյականոց ընդարձակ բնակարան` Պուշկին փողոցում` Հյուսիսային պողոտայի հարևանությամբ, 150 քմ. մակերեսով, 18 հարկանի նորակառույց շենքի 8-րդ հարկում: Բնակարանը գտնվում է զրոյական վիճակում: Ունի տեսարան՝ դեպի Օպերայի թատրոն և Կասկադ համալիր: Բաղկացած է 3 սենյակներից` 2 ննջասենյակ, որից մեկը իր առանձին սանհանգույցով, 1 հյուրասենյակ, 1 խոհանոց և 2 բաց պատշգամբ: "
Կոմիտասի պող.,3 սենյակ,100 մ2, հարկ 2/5 ," Վաճառք - 110,000 $ "," Վաճառվում է 3 սենյականոց բնակարան՝ 100 ք.մ. մակերեսով, որը գտնվում է Կոմիտաս և Վաղարշյան փողոցների խաչմերուկում, 5 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը գտնվում է նորմալ վիճակում։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է մանրահատակով, ջեռուցվում է գազի կաթսայի միջոցով: Բնակարանն ունի փակ պատշգամբ: Վաճառվում է սեփականաշնորհված ավտոտնակի հետ միասին: "
Չարենց 9,2 սենյակ,55 մ2, հարկ 3/4 ," Վաճառք - 115,000 $ "," Վաճառվում է կամ երկարաժամկետ վարձակալության է տրվում 2 ձևափոխված 3 սենյականոց հարմարավետ և արևոտ բնակարան՝ 55 ք.մ. մակերեսով, որը գտնվում է Չարենցի փողոցում` առաջին գծի վրա` Երևանի պետական համալսարանի դիմաց, 4 հարկանի քարե շենքի 3-րդ հարկում: Այն կապիտալ նոր եվրո նորոգված և չբնակեցված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է սալիկով և տաքացվող է։ Ջեռուցվում է գազի կաթսայի միջոցով։ Խոհանոցը, միջանցքը, լոգասենյակը և սանհանգույցը պատված են սալիկներով: Բնակարանն ունի բաց պատշգամբ` դեպի փողոց բացվող: Շենքն ունի բետոնե ծածկեր: "
Մաշտոցի պողոտա,2 սենյակ,84 մ2, հարկ 1/4 ," Վաճառք - 125,000 $ "," Վաճառվում է 2 ձևափոխված 3 սենյականոց բնակարան՝ 84 ք.մ. մակերեսով, որը գտնվում է Մաշտոցի պողոտայի և Խորենացի փողոցների խաչմերուկում, 4 հարկանի քարե Ստալինյան նախագծի շենքի բարձր 1-ին հարկում: Շենքը գտնվում է 2-րդ գծի վրա: Բնակարանը գտնվում է նորմալ վիճակում։ Տեղադրված է երկաթե դուռ, հատակը ծածկված է մանրահատակով, պատուհանները փոխված են ։ Մոտակայքում կան բազմաթիվ խանութներ, դպրոց, մանկապարտեզ նաև կանգառին է մոտ: Բնակարանի հետ վաճառվում է քարե ստորգետնյա կայանատեղ: "
Կոմիտասի պող.,3 սենյակ,85 մ2, հարկ 5/14 ," Վաճառք - 97,000 $ "," Վ.Փափազյան փողոցի և Կոմիտասի պողոտայի մոտակայքում, վաճառվում է 3 սենյականոց բնակարան, որը գտնվում է 14 հարկանի շենքի 5-րդ հարկում: Բնակարանի ընդհանուր մակերեսը 85 ք.մ. է: Այն կապիտալ վերանորոգված է և շատ ուսավոր է: Տեղադրված է գազի կաթսա, ապահովված է բոլոր անհրաժեշտ հարմարություններով և տեխնիկայով: Հատակը ծածկված է լամինատով և սալիներով: Սանհանգույցը սալիկապատված է և հագեցած սանտեխնիկայով: Ունի խորդանոց: Սենյակները լի են ներկառուցված պահարաններով: Շենքում գործում է անխափան վերելակ: Բակում կա ուրախ խաղահրապարակ: Մոտակայքում կան տարատեսակ ֆիրմային խանութներ, ժամանցի վայրեր: "
Փ․ Բուզանդ,1 սենյակ,43 մ2," հարկ 5/15 , նորակառույց "," Վաճառք - 179,000 $ "," Վաճառվում կամ վարձակալության է տրվում 1 սենյականոց նորաոճ և հարմարավետ բնակարան՝ 43 ք.մ. մակերեսով, որը գտնվում է Բուզանդ փողոցում՝ 15 հարկանի նորակառույց շենքի 5-րդ հարկում: Բնակարանը նրբաճաշակ կապիտալ նորոգված է և կահավորված, ինչպես նաև համալրված ժամանակակից տեխնիկայով։ Ջեռուցումն իրականացվում է կենտրոնացված համակարգով։ Սանհանգույցը սալիկապատված է և հագեցած է անհրաժեշտ սանտեխնիկայով։ Մոտակայքում կարող եք գտնել բոլոր անհրաժեշտ խանութները։ "
Փ․ Բուզանդ 17,2 սենյակ,52 մ2," հարկ 9/17 , նորակառույց "," Վաճառք - 199,000 $ "," Վաճառվում կամ վարձակալության է տրվում 2 սենյականոց հարմարավետ ստուդիո ոճի բնակարան՝ 52 ք.մ. մակերեսով, որը գտնվում է Բուզանդ փողոցում՝ Հանրապետության հրապարակի հարևանությամբ, 17 հարկանի նորակառույց շենքի 9-րդ հարկում։ Բնակարանը եվրո նորոգված է։ Ջեռուցման համակարգը կենտրոնացված է, իսկ հովացումն իրականացվում է օդորակիչի միջոցով: Սանհանգույցը հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է և ապահովված անհրաժեշտ տեխնիկայով։ Կա կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում են գտնվում բոլոր հանգստի և ժամանցի վայրերը։ "
Աբովյան,1 սենյակ,54 մ2, հարկ 9/12 ," Վաճառք - 125,000 $ "," Վաճառվում է 1 սենյականոց բնակարան` 54 քմ մակերեսով Աբովյան փողոցի 2-րդ գծի 12 հարկանի շենքի 9-րդ հարկում ՝ Հյուսիսային պողոտայից ոչ հեռու: Բնակարանը կապիտալ վերանորոգված է, տեղադրված են ջեռուցման և օդորակման անհատական համակարգեր, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով: Շենքում գործում է վերելակ, տեղադրված է դոմոֆոն: Շենքի մոտակայքում են գտնվում բանկերը, խանութները, սրճարանները, հանգստի և ժամանցի վայրերը: Վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Աղբյուր Սերոբ 50,2 սենյակ,71 մ2," հարկ 4/7 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է 2 սենյականոց բնակարան անմիջապես կառուցապատողից` 71.20 քմ մակերեսով` 7 հարկանի ""Տեխնոդոմ"" բնակելի շենքի 4-րդ հարկում: Բաղկացած է հյուրասենյակից, խոհանոցից, 1 ննջասենյակից, 1 սանհանգույցից և բաց պատշգամբից: Տեխնոդոմ բնակելի շենքը, որի շինարարական աշխատանքներն ընթանում են, գտնվում է Արաբկիր համայնքում՝ Վերին Անտառային փողոցի և Սարալանջ պողոտայի հարևանությամբ, Աղբյուր Սերոբ փողոցում: Այստեղ կարելի է հասնել` քայլելով 10 րոպե Կասկադից և «Ռիո մոլ» առևտրի կենտրոնից: Մոնոլիտ-բետոնե շինությունը նախագծված է անվտանգության գերժամանակակից եվրոպական նորմերին համապատասխան, ունի միջհարկային ձայնամեկուսացում, ջերմամեկուսացում, բաղկացած է 7 բնակելի հարկերից, ունի գերմանական արտադրության վերելակներ, եռահարկ ավտոկայանատեղի, երկհարկ առևտրային տարածք: Այս ժամանակակից շենքը ճարտարապետական և տեխնիկական լուծումների շնորհիվ ստացել է Տեխնոդոմ սիմվոլիկ անվանումը։ Մոդեռն լուծումներով սլացիկ շենքում լինելու են ոչ թե պարզապես բնակարաններ և տարածքներ, այլ քաղաքում բնակվելու նոր ապրելակերպ, նոր մշակույթ: Շենքն ունենալու է 2 մուտք: 1-ին հարկում նախատեսված են կոմպակտ` 1 և 2 ննջարաններով բնակարաններ, 2 - 6-րդ հարկերում` 1-3 ննջարաններով կոմպակտ և ավելի ընդարձակ բնակարաններ` ճկուն հատակագծային լուծումներով և ընդարձակ պատշգամբներով: 7-րդ հարկում նախատեսված են 4 շքեղ բնակարաններ` պենտհաուսներ ընդարձակ տեռասաներով: Տանիքում նախատեսված է կանաչապատ նորաձև զբոսայգի, որտեղ շենքի բնակիչները կարող են զբոսնել և զմայլվել գիշերային երևանյան տեսարաններով: Բնակարանները հնարավոր է ձեռք բերել պատերը բաժանած և գաջած վիճակում։ Վաճառքը` փուլային և հիփոթեքով՝ նորակառույցների համար գործող եկամտահարկի վերադարձի օրենքով: Շենքի նախագծային աշխատանքներն իրականացվել են առաջատար մասնագետների կողմից: Նախագիծն իրականացնում է համանուն կառուցապատող ընկերությունը՝ «Տեխնոտուն» ՍՊԸ: Շինարարության փաստացի ավարտը նախատեսվում է 2022 թվականի տարեվերջում: Գները սկսվում են 1 քմ -ի համար 1250 պ.մ.-ից, կախված բնակարանի հարկից և դիրքից: "
